FTL_Bronze_Column,FTL_Data_Type,PI_Silver_Column,PI_Silver_Table,PI_Gold_Column,PI_Gold_Table,Classification,Confidence,Mapping_Reason,BR_ID,GAP_ID,Transformation,Notes
ZCC_ACCOUNT_ID,TEXT,—,—,—,—,NEW_CAPABILITY,High,No column in PI schema matches this alternate account identifier; confirmed via schema discovery,—,—,—,New alternate account key available for cross-system reconciliation
ACCOUNT_ID,TEXT,ACCOUNT_ID,"SLV_USAGE_MASTER, SLV_CONSOLIDATED_USAGE",ACTIVE_ACCOUNTS,GLD_AGGREGATE,DIRECT_MATCH + GRAIN_CHANGE,High,Exact name and semantic match; used in aggregation to count distinct accounts,BR-004,—,"COUNT(DISTINCT ACCOUNT_ID) WHERE IS_ACTIVE",Requires grouping by DATE/REGION/SEGMENT
ENGAGEMENT_ID,TEXT,ENGAGEMENT_ID,SLV_COMBINED_CHANNELS,—,—,NEW_CAPABILITY,High,Matches Silver SLV_COMBINED_CHANNELS but not used in Gold; engagement-level tracking not in current Gold schema,—,—,—,Enables engagement-level drill-down if added to new Silver table
AGENT_ID,TEXT,USER_ID,SLV_USAGE_MASTER,ACTIVE_USERS,GLD_AGGREGATE,SEMANTIC_MATCH + GRAIN_CHANGE,High,Semantic match confirmed — agents represent users in FTL context; used for user count aggregation,"BR-005, BR-009",—,"COUNT(DISTINCT AGENT_ID) WHERE IS_ACTIVE",Rename AGENT_ID → USER_ID in Silver transformation
DIRECTION,TEXT,DIRECTION,SLV_COMBINED_CHANNELS,—,—,DIRECT_MATCH,High,Distinct values (Inbound/Outbound) match Silver SLV_COMBINED_CHANNELS exactly; not aggregated to Gold,—,—,—,Available in Silver for directional analysis; not in Gold
MODALITY,TEXT,MODALITY,SLV_COMBINED_CHANNELS,—,—,DIRECT_MATCH,High,Distinct values (SMS/Email/Chat) match Silver SLV_COMBINED_CHANNELS; provides engagement type detail,—,—,—,Available in Silver; not aggregated to Gold
CHANNEL,TEXT,CHANNEL,SLV_COMBINED_CHANNELS,—,—,DIRECT_MATCH,High,Distinct values (Video/Phone) match Silver SLV_COMBINED_CHANNELS; defines communication channel,—,—,—,Available in Silver for channel-split reporting
PHONE_SESSIONS,NUMBER,PHONE_SESSIONS,SLV_USAGE_MASTER,PHONE_USAGE,GLD_AGGREGATE,DIRECT_MATCH + GRAIN_CHANGE,High,Exact match for Silver; used in Gold phone usage calculation along with duration,BR-006,—,SUM(PHONE_SESSIONS) grouped by dimensions,Part of phone usage metric calculation
INBOUND_PHONE_MS,NUMBER,INBOUND_PHONE_MINS,SLV_USAGE_MASTER,PHONE_USAGE,GLD_AGGREGATE,UNIT_CHANGE + GRAIN_CHANGE,Medium,Semantically matches phone duration but requires MS→minutes conversion; sample values confirm magnitude match after division by 60000,"BR-003, BR-006",—,INBOUND_PHONE_MS / 60000.0,Conversion: milliseconds to minutes
CLIENT_TYPE,TEXT,—,—,—,—,NEW_CAPABILITY,High,No column in PI schema tracks client device type (Mobile/Desktop/Web); confirmed via schema discovery,—,—,—,New dimension for device-based segmentation
