FTL_Bronze_Column,FTL_Data_Type,PI_Silver_Column,PI_Silver_Table,PI_Gold_Column,PI_Gold_Table,Classification,Confidence,Mapping_Reason,BR_ID,GAP_ID,Transformation,Notes
ZCC_ACCOUNT_ID,TEXT,—,—,—,—,NEW_CAPABILITY,N/A,No matching column found in PI Silver or Gold schema - appears to be ZCC-specific account identifier distinct from standard ACCOUNT_ID,—,—,Not mapped (new capability),Add to Silver if ZCC-specific tracking needed; clarify relationship to ACCOUNT_ID
ACCOUNT_ID,TEXT,ACCOUNT_ID,Multiple Silver tables,—,—,DIRECT_MATCH,High,Column name and semantic meaning identical across source and all Silver tables; confirmed via distinct value queries,BR-007,—,Direct pass-through,Foundational join key - no transformation
ENGAGEMENT_ID,TEXT,ENGAGEMENT_ID,SLV_COMBINED_CHANNELS,—,—,DIRECT_MATCH,High,Column name and semantic meaning identical; engagement-level granularity matches,BR-008,—,Direct pass-through,Unique engagement identifier
AGENT_ID,TEXT,USER_ID,SLV_COMBINED_CHANNELS + SLV_ROLL_29_DAY_USAGE + SLV_USAGE_MASTER + SLV_USER_FIRST_ACTIVE,—,—,RENAME,Medium,FTL uses AGENT_ID while PI uses USER_ID - assumed semantic equivalence but requires business validation,BR-009,—,AGENT_ID AS USER_ID,ASSUMPTION: Agent = User in this context - validate with Zoom team
DIRECTION,TEXT,DIRECTION,SLV_COMBINED_CHANNELS,—,—,CASE_CHANGE,High,Distinct value query confirms FTL has 'Inbound'/'Outbound' vs PI 'INBOUND'/'OUTBOUND' - only case differs,BR-005,—,UPPER(DIRECTION),Case normalization required
MODALITY,TEXT,MODALITY,SLV_COMBINED_CHANNELS,—,—,DIRECT_MATCH,High,Values align (Chat Email SMS) - confirmed via distinct value comparison,BR-012,—,Direct pass-through,Multi-channel indicator
CHANNEL,TEXT,CHANNEL,SLV_COMBINED_CHANNELS,—,—,CASE_CHANGE,High,Distinct value query confirms FTL has 'Phone'/'Video' vs PI 'PHONE'/'VIDEO' - only case differs,BR-006,—,UPPER(CHANNEL),Case normalization required
PHONE_SESSIONS,NUMBER,PHONE_SESSIONS,SLV_USAGE_MASTER,—,—,DIRECT_MATCH,High,Column name and data type identical; semantic meaning matches (count of phone sessions),BR-011,—,Direct pass-through,Phone session count metric
INBOUND_PHONE_MS,NUMBER,INBOUND_PHONE_MINS,SLV_USAGE_MASTER,—,—,UNIT_CHANGE,High,Milliseconds to minutes conversion - standard unit transformation,BR-002,—,INBOUND_PHONE_MS / 60000.0,Unit conversion: 1 min = 60000 ms
INBOUND_PHONE_MS,NUMBER,DURATION_SEC,SLV_COMBINED_CHANNELS,—,—,UNIT_CHANGE,High,Milliseconds to seconds conversion for duration metric,BR-004,—,INBOUND_PHONE_MS / 1000.0,Unit conversion: 1 sec = 1000 ms
INBOUND_PHONE_MS,NUMBER,PHONE_USAGE,SLV_CONSOLIDATED_USAGE + SLV_ROLL_29_DAY_USAGE,PHONE_USAGE,GLD_AGGREGATE,UNIT_CHANGE,Medium,Milliseconds to hours conversion with aggregation; ASSUMPTION: Gold measures usage in hours,BR-003,—,SUM(INBOUND_PHONE_MS) / 3600000.0,Unit + aggregation; only inbound calls counted
CLIENT_TYPE,TEXT,—,—,—,—,NEW_CAPABILITY,N/A,No matching column in PI schema - provides device type segmentation (Desktop Mobile Web),—,—,Not mapped (new capability),Recommend adding to Silver for client-type analytics
OS,TEXT,—,—,—,—,NEW_CAPABILITY,N/A,No matching column in PI schema - provides OS-level segmentation; DATA QUALITY ISSUE: profile shows only 'Sample Text',—,—,Not mapped (new capability),Validate data quality in production before adding to Silver
IS_ACTIVE,BOOLEAN,IS_ACTIVE_ACCOUNT,SLV_CONSOLIDATED_USAGE + SLV_DAILY_METRICS + SLV_MONTHLY_METRICS + SLV_WEEKLY_METRICS,—,—,SEMANTIC_MATCH,Medium,FTL row-level IS_ACTIVE assumed to indicate account-level activity; LOW CONFIDENCE - interpretation unclear,BR-010,—,IS_ACTIVE AS IS_ACTIVE_ACCOUNT,ASSUMPTION: Confirm if IS_ACTIVE means account or user activity
CLUSTER,TEXT,—,—,REGION,GLD_AGGREGATE,DERIVED,Low,AWS cluster (us-east-1 eu-central-1 ap-south-1) mapped to business regions (NAMER EMEA APAC); ASSUMPTION: Mapping logic requires validation,BR-017,—,"CASE WHEN CLUSTER LIKE 'us-%' THEN 'NAMER' WHEN CLUSTER LIKE 'eu-%' THEN 'EMEA' WHEN CLUSTER LIKE 'ap-%' THEN 'APAC' ELSE 'OTHER' END",Requires CLUSTER_REGION_MAP reference table validation
DATA_DATE,TEXT,REPORT_DATE,SLV_CONSOLIDATED_USAGE + SLV_DAILY_METRICS + SLV_MONTHLY_METRICS + SLV_ROLL_29_DAY_USAGE + SLV_USER_ACTIVE_DAYS + SLV_WEEKLY_METRICS,DATE,GLD_AGGREGATE,TYPE_CHANGE,Medium,Text date format (M/D/YY HH:MI) requires parsing to DATE type; ASSUMPTION: Format consistent across all records,BR-001,—,"TO_DATE(DATA_DATE, 'M/D/YY HH24:MI')",Format assumption based on sample '5/29/26 13:01' - test with production data
DATA_DATE,TEXT,DATE,SLV_USAGE_MASTER,DATE,GLD_AGGREGATE,TYPE_CHANGE,Medium,Same date parsing transformation as REPORT_DATE,BR-001,—,"TO_DATE(DATA_DATE, 'M/D/YY HH24:MI')",Same transformation as above
DATA_DATE,TEXT,START_DATE,SLV_COMBINED_CHANNELS,—,—,TYPE_CHANGE,Medium,Same date parsing transformation for engagement start date,BR-001,—,"TO_DATE(DATA_DATE, 'M/D/YY HH24:MI')",Same transformation as above
DATA_DATE,TEXT,ACCOUNT_FIRST_ACTIVE,SLV_ACCT_FIRST_ACTIVE + SLV_USAGE_MASTER,—,—,AGGREGATION,Medium,Minimum date per account represents first active date; ASSUMPTION: First FTL record = first active (no historical backfill),BR-013,—,MIN(TO_DATE(DATA_DATE)) OVER (PARTITION BY ACCOUNT_ID),Window function for first active calculation
DATA_DATE,TEXT,USER_FIRST_ACTIVE,SLV_USER_FIRST_ACTIVE + SLV_USAGE_MASTER,—,—,AGGREGATION,Medium,Minimum date per user (agent) represents first active date; same assumption as account first active,BR-014,—,MIN(TO_DATE(DATA_DATE)) OVER (PARTITION BY AGENT_ID),Window function for first active calculation
AGENT_ID,TEXT,ACTIVE_USERS,Multiple metrics tables,ACTIVE_USERS,GLD_AGGREGATE,AGGREGATION,Medium,Count distinct active agents as proxy for active users; filtered by IS_ACTIVE flag,BR-015,—,COUNT(DISTINCT CASE WHEN IS_ACTIVE THEN AGENT_ID END),Aggregation with IS_ACTIVE filter
ACCOUNT_ID,TEXT,ACTIVE_ACCOUNTS,—,ACTIVE_ACCOUNTS,GLD_AGGREGATE,AGGREGATION,Medium,Count distinct active accounts; filtered by IS_ACTIVE flag,BR-016,—,COUNT(DISTINCT CASE WHEN IS_ACTIVE THEN ACCOUNT_ID END),Aggregation with IS_ACTIVE filter
