FTL_Bronze_Column,FTL_Data_Type,PI_Silver_Column,PI_Silver_Table,PI_Gold_Column,PI_Gold_Table,Classification,Confidence,Mapping_Reason,BR_ID,GAP_ID,Transformation,Notes
DATA_DATE,TEXT,DATE,SLV_USAGE_MASTER,DATE,GLD_AGGREGATE,UNIT_CHANGE,Medium,FTL has text format 5/29/26 13:01 confirmed via distinct value query; PI expects DATE type - requires parsing,BR-001,—,TO_DATE(DATA_DATE, 'M/D/YY HH24:MI'),Format validation needed
DATA_DATE,TEXT,START_DATE,SLV_COMBINED_CHANNELS,—,—,UNIT_CHANGE,Medium,Same text-to-date conversion as above for engagement start tracking,BR-001,—,TO_DATE(DATA_DATE, 'M/D/YY HH24:MI'),Reuse BR-001
DATA_DATE,TEXT,REPORT_DATE,SLV_CONSOLIDATED_USAGE,—,—,UNIT_CHANGE,Medium,Same text-to-date conversion for metrics reporting date dimension,BR-001,—,TO_DATE(DATA_DATE, 'M/D/YY HH24:MI'),Reuse BR-001
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_USAGE_MASTER,—,—,DIRECT_MATCH,High,Exact column name and TEXT data type match confirmed via schema,—,—,None,—
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_ACCT_FIRST_ACTIVE,—,—,DIRECT_MATCH,High,Exact column name and TEXT data type match,—,—,None,—
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_COMBINED_CHANNELS,—,—,DIRECT_MATCH,High,Exact column name and TEXT data type match,—,—,None,—
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_CONSOLIDATED_USAGE,—,—,DIRECT_MATCH,High,Exact column name and TEXT data type match,—,—,None,—
ACCOUNT_ID,TEXT,—,—,ACTIVE_ACCOUNTS,GLD_AGGREGATE,GRAIN_CHANGE,Medium,Requires aggregation COUNT(DISTINCT ACCOUNT_ID) WHERE IS_ACTIVE=true grouped by DATE REGION SEGMENT,BR-002,—,COUNT(DISTINCT ACCOUNT_ID) WHERE IS_ACTIVE = true GROUP BY DATE REGION SEGMENT,Aggregation logic
AGENT_ID,TEXT,USER_ID,SLV_USAGE_MASTER,—,—,SEMANTIC_MATCH,High,FTL calls it AGENT_ID PI calls it USER_ID - both represent agent/user entity confirmed via cardinality (25 distinct in both),BR-003,—,AGENT_ID AS USER_ID,Semantic rename
AGENT_ID,TEXT,USER_ID,SLV_USER_FIRST_ACTIVE,—,—,SEMANTIC_MATCH,High,Same agent-to-user semantic mapping,BR-003,—,AGENT_ID AS USER_ID,Semantic rename
