FTL_Bronze_Column,FTL_Data_Type,PI_Silver_Column,PI_Silver_Table,PI_Gold_Column,PI_Gold_Table,Classification,Confidence,Mapping_Reason,BR_ID,GAP_ID,Transformation,Notes
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_ACCT_FIRST_ACTIVE,—,—,DIRECT_MATCH,High,Column names identical both TEXT type semantic purpose matches,—,—,None,Direct pass-through
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_COMBINED_CHANNELS,—,—,DIRECT_MATCH,High,Column names identical both TEXT type semantic purpose matches,—,—,None,Direct pass-through
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_CONSOLIDATED_USAGE,—,—,DIRECT_MATCH,High,Column names identical both TEXT type semantic purpose matches,—,—,None,Direct pass-through
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_USAGE_MASTER,—,—,DIRECT_MATCH,High,Column names identical both TEXT type semantic purpose matches,—,—,None,Direct pass-through
ACCOUNT_ID,TEXT,—,Multiple Silver tables,—,GLD_AGGREGATE,GRAIN_CHANGE,High,Used in COUNT(DISTINCT) aggregation for active accounts metric,BR-009,—,"COUNT(DISTINCT ACCOUNT_ID) WHERE IS_ACTIVE = true GROUP BY DATE, REGION",Aggregation to account count
DATA_DATE,TEXT,DATE,SLV_USAGE_MASTER,DATE,GLD_AGGREGATE,UNIT_CHANGE,Low,Text timestamp requires parsing to DATE - format unclear from sample,BR-001,—,"CAST(TO_DATE(DATA_DATE, 'M/D/YY H:MI') AS DATE)",[LOW CONFIDENCE] Format assumption
DATA_DATE,TEXT,REPORT_DATE,SLV_CONSOLIDATED_USAGE,—,—,UNIT_CHANGE,Low,Text timestamp requires parsing to DATE - format unclear from sample,BR-001,—,"CAST(TO_DATE(DATA_DATE, 'M/D/YY H:MI') AS DATE)",[LOW CONFIDENCE] Format assumption
DATA_DATE,TEXT,START_DATE,SLV_COMBINED_CHANNELS,—,—,UNIT_CHANGE,Low,Text timestamp requires parsing to DATE - format unclear from sample,BR-001,—,"CAST(TO_DATE(DATA_DATE, 'M/D/YY H:MI') AS DATE)",[LOW CONFIDENCE] Format assumption
ENGAGEMENT_ID,TEXT,ENGAGEMENT_ID,SLV_COMBINED_CHANNELS,—,—,DIRECT_MATCH,High,Column names identical both TEXT type semantic purpose matches,—,—,None,Direct pass-through
AGENT_ID,TEXT,USER_ID,SLV_COMBINED_CHANNELS,—,—,RENAME,Medium,Semantic mapping - agents represent users in contact center context,BR-005,—,AGENT_ID AS USER_ID,[ASSUMPTION] Requires business confirmation
