FTL_Bronze_Column,FTL_Data_Type,PI_Silver_Column,PI_Silver_Table,PI_Gold_Column,PI_Gold_Table,Classification,Confidence,Mapping_Reason,BR_ID,GAP_ID,Transformation,Notes
ZCC_ACCOUNT_ID,TEXT,—,—,—,—,NEW_CAPABILITY,High,FTL provides ZCC-specific account identifier not present in any PI Silver schema,—,—,None,New dimension available for enrichment
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_ACCT_FIRST_ACTIVE,—,—,DIRECT_MATCH,High,Column name and data type identical; distinct values confirmed via profile query,—,—,None,Primary key match
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_COMBINED_CHANNELS,—,—,DIRECT_MATCH,High,Column name and data type identical; used as dimension in engagement tracking,—,—,None,Dimension match
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_CONSOLIDATED_USAGE,—,—,DIRECT_MATCH,High,Column name and data type identical; aggregation key,—,—,None,Aggregation key
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_DAILY_METRICS,—,—,DIRECT_MATCH,High,Column name and data type identical; aggregation key,—,—,None,Aggregation key
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_MONTHLY_METRICS,—,—,DIRECT_MATCH,High,Column name and data type identical; aggregation key,—,—,None,Aggregation key
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_ROLL_29_DAY_USAGE,—,—,DIRECT_MATCH,High,Column name and data type identical; aggregation key,—,—,None,Aggregation key
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_USAGE_MASTER,—,—,DIRECT_MATCH,High,Column name and data type identical; dimension key,—,—,None,Dimension key
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_USER_ACTIVE_DAYS,—,—,DIRECT_MATCH,High,Column name and data type identical; aggregation key,—,—,None,Aggregation key
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_USER_FIRST_ACTIVE,—,—,DIRECT_MATCH,High,Column name and data type identical; dimension key,—,—,None,Dimension key
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_WEEKLY_METRICS,—,—,DIRECT_MATCH,High,Column name and data type identical; aggregation key,—,—,None,Aggregation key
ENGAGEMENT_ID,TEXT,ENGAGEMENT_ID,SLV_COMBINED_CHANNELS,—,—,DIRECT_MATCH,High,Column name and data type identical; distinct values confirmed,—,—,None,Primary key match
AGENT_ID,TEXT,USER_ID,SLV_COMBINED_CHANNELS,—,—,SEMANTIC_MATCH,Medium,"Semantic equivalence: AGENT_ID in FTL represents user identity; distinct count match (25 agents = 25 users)",BR-001,—,AGENT_ID AS USER_ID,Assumption: agents are users
AGENT_ID,TEXT,USER_ID,SLV_ROLL_29_DAY_USAGE,—,—,SEMANTIC_MATCH,Medium,Semantic equivalence: AGENT_ID represents user in usage context,BR-001,—,AGENT_ID AS USER_ID,Assumption: agents are users
AGENT_ID,TEXT,USER_ID,SLV_USAGE_MASTER,—,—,SEMANTIC_MATCH,Medium,Semantic equivalence: AGENT_ID represents user in daily usage context,BR-001,—,AGENT_ID AS USER_ID,Assumption: agents are users
AGENT_ID,TEXT,USER_ID,SLV_USER_FIRST_ACTIVE,—,—,SEMANTIC_MATCH,Medium,Semantic equivalence: AGENT_ID represents user for first-active tracking,BR-001,—,AGENT_ID AS USER_ID,Assumption: agents are users
DIRECTION,TEXT,DIRECTION,SLV_COMBINED_CHANNELS,—,—,PARTIAL_MATCH,High,"FTL values confirmed: Inbound, Outbound; PI values: INBOUND, OUTBOUND (uppercase)",BR-002,—,UPPER(DIRECTION),Case normalization required
MODALITY,TEXT,MODALITY,SLV_COMBINED_CHANNELS,—,—,DIRECT_MATCH,Medium,"FTL values: SMS, Email, Chat; PI values: Chat, Phone, SMS (mixed case, overlapping values)",BR-003,—,UPPER(MODALITY),Case normalization recommended
CHANNEL,TEXT,CHANNEL,SLV_COMBINED_CHANNELS,—,—,PARTIAL_MATCH,Medium,"FTL values: Video, Phone; PI has 5 distinct values (EMAIL, VIDEO, PHONE, etc.) indicating FTL subset",BR-004,—,"COALESCE(UPPER(CHANNEL), UPPER(MODALITY))",Combine channel dimensions
PHONE_SESSIONS,NUMBER,PHONE_SESSIONS,SLV_USAGE_MASTER,—,—,DIRECT_MATCH,High,Column name and data type identical; confirmed via profile,—,—,None,Direct metric match
INBOUND_PHONE_MS,NUMBER,DURATION_SEC,SLV_COMBINED_CHANNELS,—,—,UNIT_CHANGE,Medium,"FTL in milliseconds, PI in seconds; conversion factor 1000 confirmed via sample value comparison",BR-005,—,INBOUND_PHONE_MS / 1000,Milliseconds to seconds
INBOUND_PHONE_MS,NUMBER,PHONE_USAGE,SLV_CONSOLIDATED_USAGE,—,—,UNIT_CHANGE,Medium,"FTL in milliseconds, PI in minutes (based on sample values 7.76, 1.17 indicating minute scale)",BR-006,—,INBOUND_PHONE_MS / 60000,Milliseconds to minutes
INBOUND_PHONE_MS,NUMBER,WEEKLY_PHONE_USAGE,SLV_ROLL_29_DAY_USAGE,—,—,UNIT_CHANGE,Medium,"FTL in milliseconds, PI in minutes",BR-006,—,INBOUND_PHONE_MS / 60000,Milliseconds to minutes
INBOUND_PHONE_MS,NUMBER,INBOUND_PHONE_MINS,SLV_USAGE_MASTER,—,—,UNIT_CHANGE,High,"FTL in milliseconds, PI column name explicitly indicates minutes",BR-006,—,INBOUND_PHONE_MS / 60000,Milliseconds to minutes
