FTL_Bronze_Column,FTL_Data_Type,PI_Silver_Column,PI_Silver_Table,PI_Gold_Column,PI_Gold_Table,Classification,Confidence,Mapping_Reason,BR_ID,GAP_ID,Transformation,Notes
DATA_DATE,TEXT,DATE,SLV_USAGE_MASTER,DATE,GLD_AGGREGATE,UNIT_CHANGE,Medium,FTL stores date as TEXT "5/29/26 13:01"; Gold requires DATE type; confirmed via distinct value query showing text format,BR-001,—,TO_DATE(DATA_DATE, 'M/D/YY HH24:MI'),Requires validation of date format consistency
ACCOUNT_ID,TEXT,ACCOUNT_ID,SLV_USAGE_MASTER,—,—,DIRECT_MATCH,High,Column name and data type identical; TEXT to TEXT with matching ID patterns confirmed via sample values,—,—,—,Used for aggregation in Gold via GROUP BY
AGENT_ID,TEXT,USER_ID,SLV_USAGE_MASTER,—,—,SEMANTIC_MATCH,High,Semantic analysis indicates AGENT_ID represents end users; distinct count (5) matches expected user cardinality,BR-004,—,AGENT_ID AS USER_ID,Assumption: AGENT_ID = USER_ID
IS_ACTIVE,BOOLEAN,IS_ACTIVE_ACCOUNT,SLV_CONSOLIDATED_USAGE,—,—,SEMANTIC_MATCH,Medium,FTL IS_ACTIVE (true/false) maps to Silver IS_ACTIVE_ACCOUNT; used in active account/user counting logic,BR-003,—,—,Assumption: IS_ACTIVE applies at account level
PHONE_SESSIONS,NUMBER,PHONE_SESSIONS,SLV_USAGE_MASTER,—,—,DIRECT_MATCH,High,"Column name, data type (NUMBER), and sample values (426, 41, 248) match exactly between FTL and Silver",—,—,—,Direct pass-through to Silver
INBOUND_PHONE_MS,NUMBER,INBOUND_PHONE_MINS,SLV_USAGE_MASTER,PHONE_USAGE,GLD_AGGREGATE,UNIT_CHANGE,Medium,"FTL stores phone time in milliseconds (e.g., 325295 ms); Silver/Gold require minutes; unit conversion confirmed via data type analysis",BR-002,—,INBOUND_PHONE_MS / 60000.0,"Converts MS to minutes (÷ 60,000)"
CLUSTER,TEXT,—,—,REGION,GLD_AGGREGATE,SEMANTIC_MATCH,Low,"FTL CLUSTER contains AWS region codes (eu-central-1, ap-south-1, us-east-1); Gold REGION has business regions (EMEA, LATAM, NAMER); requires lookup table",BR-005,—,"CASE WHEN CLUSTER = 'eu-central-1' THEN 'EMEA' WHEN CLUSTER = 'ap-south-1' THEN 'APAC' WHEN CLUSTER = 'us-east-1' THEN 'NAMER' ELSE 'UNKNOWN' END","[LOW CONFIDENCE] Assumption: CLUSTER maps to REGION; incomplete mapping"
ZCC_ACCOUNT_ID,TEXT,—,—,—,—,NEW_CAPABILITY,High,ZCC_ACCOUNT_ID (distinct count: 5) exists in FTL but no equivalent column in current PI pipeline; provides Zoom Contact Center account identifier,—,—,—,New dimension available for enrichment
ENGAGEMENT_ID,TEXT,ENGAGEMENT_ID,SLV_COMBINED_CHANNELS,—,—,DIRECT_MATCH,High,"Column name and data type identical; TEXT to TEXT with matching ID patterns (ID_8325, ID_2919, ID_6563) confirmed",—,—,—,Used in Silver channel-level detail table
DIRECTION,TEXT,DIRECTION,SLV_COMBINED_CHANNELS,—,—,CASE_CHANGE,High,"FTL has values ""Inbound, Outbound"" (mixed case); Silver has ""INBOUND, OUTBOUND"" (uppercase); confirmed via distinct value query",BR-006,—,UPPER(DIRECTION),Simple case standardization
