FTL_Bronze_Column,FTL_Data_Type,PI_Silver_Column,PI_Silver_Table,PI_Gold_Column,PI_Gold_Table,Classification,Confidence,Mapping_Reason,BR_ID,GAP_ID,Transformation,Notes
ZCC_ACCOUNT_ID,TEXT,—,—,—,—,NEW_CAPABILITY,N/A,No Silver column maps to ZCC_ACCOUNT_ID; FTL provides dual account identifier not present in legacy PI schema,—,—,N/A,New dimension available for future use
ACCOUNT_ID,TEXT,ACCOUNT_ID,"SLV_ACCT_FIRST_ACTIVE, SLV_COMBINED_CHANNELS, SLV_CONSOLIDATED_USAGE, SLV_DAILY_METRICS, SLV_MONTHLY_METRICS, SLV_ROLL_29_DAY_USAGE, SLV_USAGE_MASTER, SLV_USER_ACTIVE_DAYS, SLV_USER_FIRST_ACTIVE, SLV_WEEKLY_METRICS",—,—,DIRECT_MATCH,High,Column name and semantic meaning identical; sample values confirm TEXT format with ID_ prefix pattern matches across source and all targets,BR-001,—,Direct pass-through,Core join key
ENGAGEMENT_ID,TEXT,ENGAGEMENT_ID,SLV_COMBINED_CHANNELS,—,—,DIRECT_MATCH,High,Column name and semantic meaning identical; represents unique engagement identifier in both FTL and Silver,BR-002,—,Direct pass-through,Primary key for engagement-level table
AGENT_ID,TEXT,USER_ID,"SLV_COMBINED_CHANNELS, SLV_ROLL_29_DAY_USAGE, SLV_USAGE_MASTER, SLV_USER_FIRST_ACTIVE",—,—,SEMANTIC_MATCH,Medium,FTL uses AGENT_ID while Silver uses USER_ID; semantic mapping assumes agent = user in contact center context; requires confirmation with BDP,BR-003,—,AGENT_ID AS USER_ID,Semantic assumption: agent = user
DIRECTION,TEXT,DIRECTION,SLV_COMBINED_CHANNELS,—,—,PARTIAL_MATCH,Medium,FTL has 2 distinct values (Inbound/Outbound) vs. Silver has 2 values (INBOUND/OUTBOUND); only case differs — requires UPPER() transformation,BR-004,—,UPPER(DIRECTION),Case normalization required
MODALITY,TEXT,MODALITY,SLV_COMBINED_CHANNELS,—,—,PARTIAL_MATCH,Medium,"FTL has 3 distinct values (SMS, Email, Chat) vs. Silver has 5 values (Chat, Phone, SMS, Email, Video); FTL subset confirmed — Video/Phone modality from CHANNEL column",BR-005,—,"CASE WHEN CHANNEL IN ('Phone','Video') THEN CHANNEL ELSE MODALITY END",Modality/Channel merge needed
CHANNEL,TEXT,CHANNEL,SLV_COMBINED_CHANNELS,—,—,PARTIAL_MATCH,Medium,"FTL has 2 distinct values (Video, Phone) vs. Silver has 5 values (EMAIL, VIDEO, PHONE, CHAT, SMS); FTL provides Phone/Video channels while Email/SMS/Chat derived from MODALITY column",BR-006,—,"CASE WHEN MODALITY IN ('Email','SMS','Chat') THEN UPPER(MODALITY) ELSE UPPER(CHANNEL) END",Channel/Modality merge needed
PHONE_SESSIONS,NUMBER,PHONE_SESSIONS,SLV_USAGE_MASTER,—,—,DIRECT_MATCH,High,Column name and data type identical; semantic meaning confirmed as count of phone sessions,BR-007,—,Direct pass-through,Core phone metric
INBOUND_PHONE_MS,NUMBER,INBOUND_PHONE_MINS,SLV_USAGE_MASTER,—,—,UNIT_CHANGE,High,"FTL provides milliseconds; Silver expects minutes (INBOUND_PHONE_MINS) or float minutes (PHONE_USAGE); requires division by 60,000",BR-008,—,INBOUND_PHONE_MS / 60000.0 AS INBOUND_PHONE_MINS,Milliseconds → Minutes
INBOUND_PHONE_MS,NUMBER,PHONE_USAGE,"SLV_CONSOLIDATED_USAGE, SLV_ROLL_29_DAY_USAGE",—,—,UNIT_CHANGE,High,FTL provides milliseconds; Silver expects float minutes for PHONE_USAGE aggregation metric,BR-008,—,INBOUND_PHONE_MS / 60000.0 AS PHONE_USAGE,Milliseconds → Minutes
INBOUND_PHONE_MS,NUMBER,DURATION_SEC,SLV_COMBINED_CHANNELS,—,—,UNIT_CHANGE,Low,FTL provides phone duration in milliseconds; Silver expects seconds for all channels; only phone duration available (Email/SMS/Chat/Video duration = NULL),BR-009,GAP-023,INBOUND_PHONE_MS / 1000.0 AS DURATION_SEC,Milliseconds → Seconds; only phone
CLIENT_TYPE,TEXT,—,—,—,—,NEW_CAPABILITY,N/A,"FTL provides client type dimension (Mobile, Desktop, Web) not present in any Silver table; new analysis capability",—,—,N/A,New dimension for device analytics
OS,TEXT,—,—,—,—,NEW_CAPABILITY,N/A,FTL provides operating system dimension not present in any Silver table; new analysis capability,—,—,N/A,New dimension for OS analytics
